ID,Hotel_name,Marks,City,Satisfaction,Reviews,Price,Distances,Discriptions,Stars,Breakfast
5440,Lesar Hotel Angel - Member of Hip Hotels,9.2,LjubljanaCityCentre,Wonderful,396,578,0.5,Classic Double or Twin Room,4,Breakfast included
5442,NEU RESIDENCES smart stay,9.1,LjubljanaCityCentre,Wonderful,519,484,0.45,Studio,4,Not included
5446,Apartma City & Free Parking,9.3,LjubljanaCityCentre,Wonderful,342,437,0.25,Apartment - Ground Floor,3,Not included
5447,MS Sparrow Hostel,9.0,Ljubljana,Wonderful,145,151,2.5,Single Bed in 6-Bed Dormitory Room,0,Not included
5448,B&B Dvor Tacen,9.2,Ljubljana,Wonderful,492,390,8.1,Standard Double or Twin Room,4,Breakfast included
5454,Hotel Čad,9.3,Ljubljana,Wonderful,358,526,1.9,Standard Double Room,4,Breakfast included
5457,Vila Ema Apartments and Rooms,9.1,Ljubljana,Wonderful,369,273,1.9,Double Room with Terrace,3,Not included
5458,Cacao Rooms,9.0,LjubljanaCityCentre,Wonderful,143,484,0.1,Twin Room,4,Not included
5461,AB Ljubljana - The Residence,9.0,LjubljanaCityCentre,Wonderful,182,719,0.35,Standard One-Bedroom Apartment,4,Not included
5463,Petkovšek Rooms and Apartments,9.4,LjubljanaCityCentre,Wonderful,484,501,0.15,Double Room with Private Bathroom,3,Not included
5468,B&B Dvor Tacen,9.2,Ljubljana,Wonderful,492,390,8.1,Standard Double or Twin Room,4,Breakfast included
5469,Cacao Rooms,9.0,LjubljanaCityCentre,Wonderful,143,484,0.1,Twin Room,4,Not included
5471,Apartments Your Colourful Ljubljana Home,9.4,Ljubljana,Wonderful,121,390,1.8,Studio with Terrace,3,Not included
5472,HoMEMADE Bed and breakfast,9.3,Ljubljana,Wonderful,208,414,1.7,Family Room with Private Bathroom,0,Breakfast included
5477,Apartma Nadja with private parking,9.4,Ljubljana,Wonderful,90,370,1.1,One-Bedroom Apartment,3,Not included
5485,Vila Emona,9.2,Ljubljana,Wonderful,574,507,0.9,Classic Studio - Basement,4,Not included
5568,Alpinias Bed and Breakfast,9.1,Chanot-StadeVelodrome,Wonderful,112,379,2.6,Standard Double Room Plus,0,Breakfast included
5575,Hôtel 96,9.0,Marseille,Wonderful,294,500,6.9,Classic Double Room,3,Not included
